organization_name,country_code,appearance_count,latitude,longitude,geocode_status,geocode_display_name,geocode_source,last_checked_at
3S Photonics (France),FR,6,48.66930389404297,2.240032911300659,ok,3S Photonics (France),openalex,2026-03-12T00:02:23+00:00
657 Oslo,NO,1,59.9133301,10.7389701,ok,"Oslo, Norway",nominatim,2026-03-12T07:30:42+00:00
A*STAR Graduate Academy,SG,2,1.304275,103.791929,ok,A*STAR Graduate Academy,wikidata_search,2026-03-26T23:57:01+00:00
A*STAR-NUS Clinical Imaging Research Centre,SG,1,1.3140959,103.887788,ok,"A Star Trading, Geylang Road, Aljunied, Geylang, Central Region, Singapore, 389531, Singapore",nominatim,2026-03-12T07:27:13+00:00
ABB (Germany),DE,2,51.4027067,8.5958389,ok,"Hitachi ABB Power Grids Germany, Brilon (Kernstadt), Brilon, Hochsauerlandkreis, North Rhine-Westphalia, 59929, Germany",nominatim,2026-03-12T11:14:11+00:00
ABB (India),IN,2,13.03165340423584,77.51528930664062,ok,ABB (India),openalex,2026-03-12T04:00:46+00:00
ABB (Norway),NO,6,58.8968015,5.6950222,ok,"ABB, Christian August Thorings veg, Sola, Rogaland, 4033, Norway",nominatim,2026-03-12T02:24:26+00:00
ABB (Sweden),SE,4,59.60865020751953,16.55194091796875,ok,ABB (Sweden),openalex,2026-03-12T03:41:34+00:00
ABB (Switzerland),CH,7,47.413612365722656,8.535545349121094,ok,ABB (Switzerland),openalex,2026-03-12T04:21:23+00:00
AC Camargo Hospital,BR,1,-23.565284729003906,-46.6358642578125,ok,AC Camargo Hospital,openalex,2026-03-12T00:49:51+00:00
ADIR Association,FR,1,49.46593475341797,1.1162869930267334,ok,ADIR Association,openalex,2026-03-12T00:27:39+00:00
AGH University of Krakow,PL,3,50.064528,19.92375,ok,AGH University of Kraków,wikipedia_wikidata,2026-03-11T21:58:11+00:00
AIAS Bologna,IT,1,44.4752311706543,11.393766403198242,ok,AIAS Bologna,openalex,2026-03-12T00:31:54+00:00
ALBA Synchrotron (Spain),ES,1,41.48569107055664,2.1217100620269775,ok,ALBA Synchrotron (Spain),,2026-03-12T06:41:08+00:00
ARC Centre of Excellence for Electromaterials Science,AU,3,-34.42399978637695,150.89344787597656,ok,ARC Centre of Excellence for Electromaterials Science,openalex,2026-03-12T03:23:35+00:00
ARC Centre of Excellence for Engineered Quantum Systems,AU,2,-27.46794,153.02809,ok,ARC Centre of Excellence for Engineered Quantum Systems,openalex,2026-03-12T02:55:24+00:00
ARC Centre of Excellence for Transformative Meta-Optical Systems,AU,2,-35.279483795166016,149.1282501220703,ok,ARC Centre of Excellence for Transformative Meta-Optical Systems,openalex,2026-03-12T04:19:09+00:00
ARCH Development Corporation,US,1,38.86690902709961,-76.98773193359375,ok,ARCH Development Corporation,openalex,2026-03-12T04:29:27+00:00
ASML (Netherlands),NL,2,51.41833,5.40278,ok,ASML (Netherlands),openalex,2026-03-12T01:03:18+00:00
AZ Groeninge,BE,6,50.82802963256836,3.2648699283599854,ok,AZ Groeninge,openalex,2026-03-11T20:04:57+00:00
Aalborg University,DK,81,57.048,9.9187,ok,Aalborg University,openalex,2026-03-12T00:03:59+00:00
Aalborg University Hospital,DK,1,57.037879943847656,9.90850830078125,ok,Aalborg University Hospital,openalex,2026-03-11T20:03:24+00:00
Aalto University,FI,43,60.2052001953125,24.65220069885254,ok,Aalto University,openalex,2026-03-12T01:05:41+00:00
Aarhus University,DK,38,56.17055555555555,10.20111111111111,ok,Aarhus University,wikipedia_wikidata,2026-03-11T20:46:34+00:00
Aarhus University Hospital,DK,2,56.17031478881836,10.206476211547852,ok,Aarhus University Hospital,openalex,2026-03-11T20:13:32+00:00
Abbott (United Kingdom),GB,2,51.51175308227539,-0.7456430196762085,ok,Abbott (United Kingdom),openalex,2026-03-12T03:39:05+00:00
Aberdeen Royal Infirmary,GB,4,57.154598236083984,-2.135999917984009,ok,Aberdeen Royal Infirmary,openalex,2026-03-11T20:06:40+00:00
Aberystwyth University,GB,11,52.41806,-4.06576,ok,Aberystwyth University,wikipedia_wikidata,2026-03-11T21:38:51+00:00
Abu Dhabi University,AE,6,24.45118,54.39696,ok,Abu Dhabi University,openalex,2026-03-12T00:10:56+00:00
Academic College of Tel Aviv-Yafo,IL,4,32.04792785644531,34.760921478271484,ok,Academic College of Tel Aviv-Yafo,openalex,2026-03-12T00:29:54+00:00
Academic Medical Center,NL,13,52.2924635,4.9565766,ok,"Academic Medical Center, 9, Meibergdreef, Zuidoost, Amsterdam, North Holland, Netherlands, 1105 AZ, Netherlands",nominatim,2026-03-11T20:09:46+00:00
Academy of Arts,DE,1,52.5154125,13.379618,ok,"Academy of Arts, 4, Pariser Platz, Dorotheenstadt, Mitte, Berlin, 10117, Germany",nominatim,2026-03-12T10:48:21+00:00
Academy of Mathematics and Systems Science,CN,1,39.907501220703125,116.39723205566406,ok,Academy of Mathematics and Systems Science,,2026-03-12T01:38:17+00:00
Academy of Military Medical Sciences,CN,12,39.9075,116.39723,ok,Academy of Military Medical Sciences,,2026-03-12T02:13:35+00:00
Academy of Scientific and Innovative Research,IN,4,28.688041666667,77.465386111111,ok,Academy of Scientific and Innovative Research,wikipedia_wikidata,2026-03-12T01:35:01+00:00
Academy of State Administration of Grain,CN,1,39.92848587036133,116.35077667236328,ok,Academy of State Administration of Grain,,2026-03-12T06:13:50+00:00
Accenture (Switzerland),CH,4,47.3731274,8.5362379,ok,"Accenture, 34, Sihlstrasse, City, Altstadt, Zurich, District Zurich, Zurich, 8001, Switzerland",nominatim,2026-03-12T11:31:18+00:00
Accenture (United States),US,8,40.76323699951172,-73.97913360595703,ok,Accenture (United States),openalex,2026-03-12T04:31:28+00:00
Accuray (United States),US,1,37.368831634521484,-122.03634643554688,ok,Accuray (United States),openalex,2026-03-12T03:42:53+00:00
Active Technologies (Italy),GR,1,44.814823150634766,11.586255073547363,ok,Active Technologies (Italy),openalex,2026-03-26T23:57:02+00:00
Addenbrooke's Hospital,GB,1,52.176,0.14,ok,Addenbrooke's Hospital,wikipedia_wikidata,2026-03-11T22:41:43+00:00
Adnan Menderes University,TR,3,39.8988,41.2486,ok,Atatürk University,wikipedia_wikidata,2026-03-12T02:38:23+00:00
Adobe Systems (United States),US,6,37.7708713,-122.4016694,ok,"Adobe Systems, 601, Townsend Street, Mission Bay, San Francisco, California, 94103, United States",nominatim,2026-03-11T20:49:29+00:00
Advanced Applications (United States),US,2,29.73094940185547,-95.42627716064453,ok,Advanced Applications (United States),openalex,2026-03-12T00:27:44+00:00
Advanced Device Technology (United States),JP,1,42.77595520019531,-71.24034118652344,ok,Advanced Device Technology (United States),openalex,2026-03-26T23:57:02+00:00
Advanced Engineering (Czechia),CZ,2,50.08804,14.42076,ok,Advanced Engineering (Czechia),openalex,2026-03-11T20:10:33+00:00
Advanced Engineering Services (Japan),JP,1,35.68949890136719,139.69171142578125,ok,Advanced Engineering Services (Japan),openalex,2026-03-11T19:41:12+00:00
Advanced Imaging Research (United States),US,1,41.520713806152344,-81.6612777709961,ok,Advanced Imaging Research (United States),openalex,2026-03-12T00:30:06+00:00
Advanced Institute of Convergence Technology,KR,4,37.29494094848633,127.04547119140625,ok,Advanced Institute of Convergence Technology,openalex,2026-03-12T01:05:26+00:00
Advanced Materials and Devices (United States),US,1,39.52963,-119.8138,ok,Advanced Materials and Devices (United States),openalex,2026-03-12T00:20:07+00:00
Advanced Processing Technology (United States),CN,5,35.251678466796875,-97.49007415771484,ok,Advanced Processing Technology (United States),openalex,2026-03-26T23:57:04+00:00
"Advanced Science,Technology & Management Research Institute of Kyoto",JP,1,36.4436614,136.5923335,ok,"Japan Advanced Institute of Science and Technology, Asahidai 1-chome, Nomi, Ishikawa Prefecture, 923-1292, Japan",nominatim,2026-03-12T05:41:02+00:00
Advanced Technologies Group (United States),US,1,37.3216,-122.0306,ok,Apple Advanced Technology Group,wikipedia_wikidata,2026-03-12T05:48:10+00:00
Advanced Telecommunications Research Institute International,JP,72,35.02106857299805,135.75384521484375,ok,Advanced Telecommunications Research Institute International,openalex,2026-03-11T19:57:53+00:00
